uses_https,url_length,subdomain_count,has_ip,has_at,is_url_shortener,hyphen_count,suspicious_tld,domain_entropy,is_brand_lookalike,closest_brand,brand_distance,url,label
0,26,0,0,0,0,1,1,2.75,1,paytm,2,http://paytm-kyc.xyz/login,1
0,32,0,0,0,0,2,1,3.457,0,rbi,3,http://free-iphone-claim.top/win,1
0,41,0,0,0,0,2,1,3.471,1,sbi,2,http://sbi-netbanking-update.click/verify,1
0,35,2,1,0,0,0,0,1.585,0,sbi,3,http://192.168.1.1/admin/paytm.html,1
0,43,0,0,1,0,2,0,3.554,0,sbi,4,http://user@google-security-alert.com/login,1
0,40,0,0,0,0,2,1,3.407,1,phonepe,2,http://phonepe-reward-scratchcard.online,1
0,37,0,0,0,0,3,1,3.118,1,icici,2,http://icici-card-limit-increase.site,1
0,37,0,0,0,0,3,1,3.344,1,amazon,2,http://amazon-prime-free-lifetime.xyz,1
0,37,0,0,0,0,3,1,3.295,1,whatsapp,2,http://whatsapp-gold-download-now.top,1
0,40,0,0,0,0,3,1,3.689,1,rbi,2,http://rbi-unclaimed-fund-transfer.click,1
1,22,1,0,0,0,0,0,1.918,0,googlepay,3,https://www.google.com,0
1,21,1,0,0,0,0,0,2.252,0,amazon,0,https://www.amazon.in,0
1,25,1,0,0,0,0,0,2.642,0,sbi,4,https://www.wikipedia.org,0
1,18,0,0,0,0,0,0,2.585,0,sbi,5,https://github.com,0
1,21,1,0,0,0,0,0,2.322,0,paytm,0,https://www.paytm.com,0
1,23,1,0,0,0,0,0,2.236,0,phonepe,0,https://www.phonepe.com,0
1,21,2,0,0,0,0,0,1.585,0,sbi,0,https://www.sbi.co.in,0
1,24,1,0,0,0,0,0,3.0,1,hdfc,2,https://www.hdfcbank.com,0
1,25,1,0,0,0,0,0,2.419,1,icici,2,https://www.icicibank.com,0
1,24,1,0,0,0,0,0,3.0,0,flipkart,0,https://www.flipkart.com,0
